35004,"Moody, AL",33.590799,-86.506468
35005,"Adamsville, AL",33.594284,-86.962824
35006,"Adger, AL",33.456805,-87.202905
35007,"Alabaster, AL",33.227497,-86.810021
35010,"Alexander City, AL",32.908688,-85.937054
35013,"Allgood, AL",33.901800,-86.517019
35014,"Alpine, AL",33.357764,-86.273197
35016,"Arab, AL",34.327887,-86.493585
35019,"Baileyton, AL",34.286490,-86.630504
35020,"Bessemer, AL",33.406407,-86.953079
35022,"Bessemer, AL",33.338599,-86.953822
35023,"Hueytown, AL",33.445246,-87.019922
35031,"Blountsville, AL",34.116105,-86.552250
35032,"Bon Air, AL",33.264300,-86.334975
35033,"Bremen, AL",33.956565,-87.039680
35034,"Brent, AL",32.917218,-87.223353
35035,"Brierfield, AL",33.042396,-86.957224
35036,"Brookside, AL",33.640216,-86.919714
35040,"Calera, AL",33.120947,-86.744636
35042,"Centreville, AL",32.957703,-87.137555
35043,"Chelsea, AL",33.321245,-86.651499
35044,"Childersburg, AL",33.269738,-86.356302
35045,"Clanton, AL",32.834511,-86.641739
35046,"Clanton, AL",32.911989,-86.548065
35049,"Cleveland, AL",33.966200,-86.598015
35051,"Columbiana, AL",33.208040,-86.618500
35052,"Cook Springs, AL (PO Boxes)",33.590756,-86.409398
35053,"Crane Hill, AL",34.035761,-87.069528
35054,"Cropwell, AL",33.500580,-86.310493
35055,"Cullman, AL",34.168774,-86.822280
35057,"Cullman, AL",34.138290,-86.924954
35058,"Cullman, AL",34.221843,-86.776459
35060,"Docena, AL (PO Boxes)",33.559704,-86.933014
35061,"Birmingham, AL",33.463935,-86.959402
35062,"Dora, AL",33.720438,-87.032685
35063,"Empire, AL",33.809168,-87.009441
35064,"Fairfield, AL",33.480193,-86.915851
35068,"Fultondale, AL",33.611150,-86.814913
35070,"Garden City, AL",34.011090,-86.748152
35071,"Gardendale, AL",33.682439,-86.821166
35072,"Goodwater, AL",33.084243,-86.055645
35073,"Graysville, AL",33.643174,-86.969195
35074,"Green Pond, AL (PO Boxes)",33.221897,-87.125009
35077,"Hanceville, AL",34.046062,-86.801097
35078,"Harpersville, AL",33.324276,-86.444487
35079,"Hayden, AL",33.924976,-86.766696
35080,"Helena, AL",33.273753,-86.887762
35083,"Holly Pond, AL",34.188639,-86.602799
35085,"Jemison, AL",32.974970,-86.728885
35087,"Joppa, AL",34.303256,-86.583155
35089,"Kellyton, AL",32.951201,-86.050514
35091,"Kimberly, AL",33.775542,-86.789164
35094,"Leeds, AL",33.530066,-86.553303
35096,"Lincoln, AL",33.604415,-86.121235
35097,"Locust Fork, AL",33.896759,-86.630149
35098,"Logan, AL",34.122318,-87.054166
35111,"Mc Calla, AL",33.279854,-87.099396
35112,"Margaret, AL",33.689494,-86.473896
35114,"Alabaster, AL",33.225447,-86.862900
35115,"Montevallo, AL",33.115889,-86.874170
35116,"Morris, AL",33.748742,-86.783746
35117,"Mount Olive, AL",33.655716,-86.880179
35118,"Sylvan Springs, AL",33.536793,-87.029404
35119,"New Castle, AL (PO Boxes)",33.641557,-86.775219
35120,"Odenville, AL",33.672585,-86.441274
35121,"Oneonta, AL",33.944821,-86.457985
35124,"Pelham, AL",33.311886,-86.781782
35125,"Pell City, AL",33.608710,-86.289508
35126,"Pinson, AL",33.715781,-86.655473
35127,"Pleasant Grove, AL",33.493203,-86.973678
35128,"Pell City, AL",33.560319,-86.303812
35130,"Quinton, AL",33.633615,-87.126636
35131,"Ragland, AL",33.722206,-86.173006
35133,"Remlap, AL",33.823096,-86.600413
35135,"Riverside, AL",33.614474,-86.203308
35136,"Rockford, AL",32.886371,-86.308780
35139,"Sayre, AL (PO Boxes)",33.711686,-86.975065
35143,"Shelby, AL",33.084555,-86.550751
35146,"Springville, AL",33.780035,-86.450910
